Scheme Name	Net Asset Value
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Annual Bonus	11.6319
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Daily Dividend Reinvestment	11.6582
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Growth	11.6493
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Monthly Dividend	11.1411
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Bonus	11.1681
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Dividend	11.0236
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Weekly Dividend	10.1418
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Bonus	21.8981
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.2300
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Growth	44.8281
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Income Distribution cum Capital Withdrawal (IDCW)	11.1600
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Bonus	21.7644
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.3550
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Growth	44.1726
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Income Distribution cum Capital Withdrawal (IDCW)	11.1943
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	12.1035
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Growth	35.6206
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.4908
TRUSTMF BANKING & PSU FUND - DIRECT GROWTH	1333.2904
TRUSTMF BANKING & PSU FUND - REGULAR GROWTH	1301.267
TRUSTMF BANKING & PSU FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1169.5194
TRUSTMF BANKING & PSU FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1323.4055
TRUSTMF BANKING & PSU FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1154.3068
TRUSTMF BANKING & PSU FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1176.3357
TRUSTMF BANKING & PSU FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1130.9064
TRUSTMF BANKING & PSU FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1139.2376
TRUSTMF BANKING & PSU FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1244.1762
TRUSTMF BANKING & PSU FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1132.5974
TRUSTMF BANKING & PSU FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1147.8063
TRUSTMF BANKING & PSU FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1112.5171
UTI Banking & PSU Fund - Direct Plan - Annual IDCW	13.5635
UTI Banking & PSU Fund - Direct Plan - Flexi IDCW	19.7778
UTI Banking & PSU Fund - Direct Plan - Growth Option	22.9512
UTI Banking & PSU Fund - Direct Plan - Half-Yearly IDCW	15.2298
UTI Banking & PSU Fund - Direct Plan - Monthly IDCW	13.5482
UTI Banking & PSU Fund - Direct Plan - Quarterly IDCW	17.0822
UTI Banking & PSU Fund - Regular Plan - Annual IDCW	13.3
UTI Banking & PSU Fund - Regular Plan - Flexi IDCW	15.1162
UTI Banking & PSU Fund - Regular Plan - Half-Yearly IDCW	15.0528
UTI Banking & PSU Fund - Regular Plan - Monthly IDCW	13.3049
UTI Banking & PSU Fund - Regular Plan - Quarterly IDCW	15.4687
UTI Banking & PSU Fund- Regular Plan - Growth Option	22.5409
Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan	117.6693
Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan	115.6091
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW	10.9584
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW	12.8635
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW	12.2977
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW	12.6551
Axis Corporate Bond Fund - Direct Plan - Daily IDCW	10.2063
Axis Corporate Bond Fund - Direct Plan - Monthly IDCW	10.2237
Axis Corporate Bond Fund - Direct Plan - Regular IDCW	14.5233
Axis Corporate Bond Fund - Direct Plan - Weekly IDCW	10.3391
Axis Corporate Bond Fund - Direct Plan Growth	18.6159
Axis Corporate Bond Fund - Regular Plan - Daily IDCW	10.2052
Axis Corporate Bond Fund - Regular Plan - Monthly IDCW	10.1750
Axis Corporate Bond Fund - Regular Plan - Regular IDCW	13.5543
Axis Corporate Bond Fund - Regular Plan - Weekly IDCW	10.2209
Axis Corporate Bond Fund - Regular Plan Growth	17.5433
BANDHAN Corporate Bond Fund - Direct Annual IDCW	10.7795
BANDHAN Corporate Bond Fund - Direct Growth	20.3121
BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW	11.6365
